Reserva Franquias,,Reserva Nova Iguaçu (F),38.406.100/0001-95,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Fortaleza (F) ,21.174.110/0001-40,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Santos (F),14.201.386/0001-04,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva João Pessoa (F),39.339.004/0001-34,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Londrina (F) ,56.925.285/0001-26,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - Maringá (F),45.409.092/0001-04,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Praia da Costa (F),28.399.931/0001-23,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Vitória (F),22.547.344/0001-58,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Juiz de Fora (F),26.278.706/0001-03,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva São José do Rio Preto (F),12.481.485/0003-23,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Park Shopping São Caetano (F) ,12.481.485/0004-04,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Uberaba (F) ,36.024.030/0001-85,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - Santo André (F),27.493.917/0002-02,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Mooca (F),46.033.630/0001-63,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva - RioMar Shopping (F),21.268.707/0001-53,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Joinville,30.296.846/0001-81,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Plaza Sul (F),49.610.575/0001-15,Cobrando,"R$99,00",1,Moda
Reserva Franquias,,Reserva Rio Branco (F),03.004.749/0003-67,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Dourados (F),41.532.686/0001-49,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Teresina PI (F),42.914.486/0001-13,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Villa Lobos (F),49.846.274/0001-95,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Presidente Prudente (F),31.106.207/0003-30,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva São Bernardo do Campo (F),31.047.309/0004-03,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Bourbon (F),49.703.346/0001-45,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Sete Lagoas (F),44.355.524/0001-70,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Centro Juiz de Fora (F),43.883.581/0001-60,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Búzios (F),34.896.448/0001-57,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Belem PA (F),44.036.142/0001-84,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Jardins Aracaju (F),43.819.479/0001-03,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Park Jacarepaguá (F),43.232.183/0001-83,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva  Barra Metropolitano (F),43.216.115/0001-20,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Iguatemi São Jose Rio Preto (F),43.227.778/0001-40,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Campina Grande (F),44.168.509/0001-13,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Piracicaba (F),44.206.141/0001-30,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Tamboré (F),45.242.653/0001-15,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Porto Velho (F),46.196.241/0001-59,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva  Campo Grande (RJ) (F),46.277.740/0001-70,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Shopping Pantanal Cuiabá (F),46.339.294/0001-81,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Américas (F),43.215.402/0001-16,Cobrando,"R$27,00",1,Moda
Reserva Franquias,,Reserva Plaza casa Forte (F),48.565.806/0001-53,Cobrando,"R$27,00",1,Moda
